"","grid_size","phi","bandwidth","point_type","distance_type","true_cov","est_cov","difference"
"1",30,2,0.1,"Many","Closest",0.733777373544591,0.119199691462416,0.614577682082175
"2",30,2,0.1,"Many","Medium",0.733777373544591,0.119199691462416,0.614577682082175
"3",30,2,0.1,"Many","Farthest",0.733777373544591,0.119199691462416,0.614577682082175
"4",30,2,0.1,"Many","Closest",0.588961267455185,-0.159052938992845,0.74801420644803
"5",30,2,0.1,"Many","Medium",0.588961267455185,-0.159052938992845,0.74801420644803
"6",30,2,0.1,"Many","Farthest",0.588961267455185,-0.159052938992845,0.74801420644803
"7",30,2,0.1,"Many","Closest",0.736928302207556,0.226960962909301,0.509967339298255
"8",30,2,0.1,"Many","Medium",0.736928302207556,0.226960962909301,0.509967339298255
"9",30,2,0.1,"Many","Farthest",0.736928302207556,0.226960962909301,0.509967339298255
"10",30,2,0.1,"Few","Closest",1.01527522059446,0.129840888411234,0.885434332183224
"11",30,2,0.1,"Few","Medium",1.01527522059446,0.129840888411234,0.885434332183224
"12",30,2,0.1,"Few","Farthest",1.01527522059446,0.129840888411234,0.885434332183224
"13",30,2,0.1,"Few","Closest",1.0195471327059,-0.188572921964422,1.20812005467033
"14",30,2,0.1,"Few","Medium",1.0195471327059,-0.188572921964422,1.20812005467033
"15",30,2,0.1,"Few","Farthest",1.0195471327059,-0.188572921964422,1.20812005467033
"16",30,2,0.1,"Few","Closest",0.999829108296475,0.226960962909301,0.772868145387174
"17",30,2,0.1,"Few","Medium",0.999829108296475,0.226960962909301,0.772868145387174
"18",30,2,0.1,"Few","Farthest",0.999829108296475,0.226960962909301,0.772868145387174
"19",30,2,0.1,"Border","Closest",0.611421993583059,0.146510630496182,0.464911363086877
"20",30,2,0.1,"Border","Medium",0.611421993583059,0.146510630496182,0.464911363086877
"21",30,2,0.1,"Border","Farthest",0.611421993583059,0.146510630496182,0.464911363086877
"22",30,2,0.1,"Border","Closest",0.372579835630821,0.39646169894242,0.0238818633115985
"23",30,2,0.1,"Border","Medium",0.372579835630821,0.39646169894242,0.0238818633115985
"24",30,2,0.1,"Border","Farthest",0.372579835630821,0.39646169894242,0.0238818633115985
"25",30,2,0.1,"Border","Closest",0.632368634199215,0.226960962909301,0.405407671289914
"26",30,2,0.1,"Border","Medium",0.632368634199215,0.226960962909301,0.405407671289914
"27",30,2,0.1,"Border","Farthest",0.632368634199215,0.226960962909301,0.405407671289914
"28",30,2,0.2,"Many","Closest",0.733777373544591,0.18416001524127,0.549617358303321
"29",30,2,0.2,"Many","Medium",0.733777373544591,0.18416001524127,0.549617358303321
"30",30,2,0.2,"Many","Farthest",0.733777373544591,0.18416001524127,0.549617358303321
"31",30,2,0.2,"Many","Closest",0.588961267455185,-0.0572465024242337,0.646207769879418
"32",30,2,0.2,"Many","Medium",0.588961267455185,-0.0572465024242337,0.646207769879418
"33",30,2,0.2,"Many","Farthest",0.588961267455185,-0.0572465024242337,0.646207769879418
"34",30,2,0.2,"Many","Closest",0.736928302207556,0.18410678094821,0.552821521259347
"35",30,2,0.2,"Many","Medium",0.736928302207556,0.18410678094821,0.552821521259347
"36",30,2,0.2,"Many","Farthest",0.736928302207556,0.18410678094821,0.552821521259347
"37",30,2,0.2,"Few","Closest",1.01527522059446,0.131498447667859,0.883776772926598
"38",30,2,0.2,"Few","Medium",1.01527522059446,0.131498447667859,0.883776772926598
"39",30,2,0.2,"Few","Farthest",1.01527522059446,0.131498447667859,0.883776772926598
"40",30,2,0.2,"Few","Closest",1.0195471327059,-0.268159772598801,1.28770690530471
"41",30,2,0.2,"Few","Medium",1.0195471327059,-0.268159772598801,1.28770690530471
"42",30,2,0.2,"Few","Farthest",1.0195471327059,-0.268159772598801,1.28770690530471
"43",30,2,0.2,"Few","Closest",0.999829108296475,0.18410678094821,0.815722327348265
"44",30,2,0.2,"Few","Medium",0.999829108296475,0.18410678094821,0.815722327348265
"45",30,2,0.2,"Few","Farthest",0.999829108296475,0.18410678094821,0.815722327348265
"46",30,2,0.2,"Border","Closest",0.611421993583059,0.192751892588138,0.41867010099492
"47",30,2,0.2,"Border","Medium",0.611421993583059,0.192751892588138,0.41867010099492
"48",30,2,0.2,"Border","Farthest",0.611421993583059,0.192751892588138,0.41867010099492
"49",30,2,0.2,"Border","Closest",0.372579835630821,0.0738909513072621,0.298688884323559
"50",30,2,0.2,"Border","Medium",0.372579835630821,0.0738909513072621,0.298688884323559
"51",30,2,0.2,"Border","Farthest",0.372579835630821,0.0738909513072621,0.298688884323559
"52",30,2,0.2,"Border","Closest",0.632368634199215,0.18410678094821,0.448261853251005
"53",30,2,0.2,"Border","Medium",0.632368634199215,0.18410678094821,0.448261853251005
"54",30,2,0.2,"Border","Farthest",0.632368634199215,0.18410678094821,0.448261853251005
"55",30,2,0.3,"Many","Closest",0.733777373544591,0.196841761021495,0.536935612523096
"56",30,2,0.3,"Many","Medium",0.733777373544591,0.196841761021495,0.536935612523096
"57",30,2,0.3,"Many","Farthest",0.733777373544591,0.196841761021495,0.536935612523096
"58",30,2,0.3,"Many","Closest",0.588961267455185,-0.0219003352449698,0.610861602700155
"59",30,2,0.3,"Many","Medium",0.588961267455185,-0.0219003352449698,0.610861602700155
"60",30,2,0.3,"Many","Farthest",0.588961267455185,-0.0219003352449698,0.610861602700155
"61",30,2,0.3,"Many","Closest",0.736928302207556,0.182999170735827,0.553929131471729
"62",30,2,0.3,"Many","Medium",0.736928302207556,0.182999170735827,0.553929131471729
"63",30,2,0.3,"Many","Farthest",0.736928302207556,0.182999170735827,0.553929131471729
"64",30,2,0.3,"Few","Closest",1.01527522059446,0.197729526567782,0.817545694026676
"65",30,2,0.3,"Few","Medium",1.01527522059446,0.197729526567782,0.817545694026676
"66",30,2,0.3,"Few","Farthest",1.01527522059446,0.197729526567782,0.817545694026676
"67",30,2,0.3,"Few","Closest",1.0195471327059,-0.215579450326161,1.23512658303207
"68",30,2,0.3,"Few","Medium",1.0195471327059,-0.215579450326161,1.23512658303207
"69",30,2,0.3,"Few","Farthest",1.0195471327059,-0.215579450326161,1.23512658303207
"70",30,2,0.3,"Few","Closest",0.999829108296475,0.182999170735827,0.816829937560648
"71",30,2,0.3,"Few","Medium",0.999829108296475,0.182999170735827,0.816829937560648
"72",30,2,0.3,"Few","Farthest",0.999829108296475,0.182999170735827,0.816829937560648
"73",30,2,0.3,"Border","Closest",0.611421993583059,0.198116296485201,0.413305697097857
"74",30,2,0.3,"Border","Medium",0.611421993583059,0.198116296485201,0.413305697097857
"75",30,2,0.3,"Border","Farthest",0.611421993583059,0.198116296485201,0.413305697097857
"76",30,2,0.3,"Border","Closest",0.372579835630821,0.097508989057442,0.275070846573379
"77",30,2,0.3,"Border","Medium",0.372579835630821,0.097508989057442,0.275070846573379
"78",30,2,0.3,"Border","Farthest",0.372579835630821,0.097508989057442,0.275070846573379
"79",30,2,0.3,"Border","Closest",0.632368634199215,0.182999170735827,0.449369463463388
"80",30,2,0.3,"Border","Medium",0.632368634199215,0.182999170735827,0.449369463463388
"81",30,2,0.3,"Border","Farthest",0.632368634199215,0.182999170735827,0.449369463463388
"82",50,2,0.1,"Many","Closest",0.750854286987176,0.282484034294065,0.468370252693112
"83",50,2,0.1,"Many","Medium",0.750854286987176,0.282484034294065,0.468370252693112
"84",50,2,0.1,"Many","Farthest",0.750854286987176,0.282484034294065,0.468370252693112
"85",50,2,0.1,"Many","Closest",0.901850526487327,0.124315903016097,0.77753462347123
"86",50,2,0.1,"Many","Medium",0.901850526487327,0.124315903016097,0.77753462347123
"87",50,2,0.1,"Many","Farthest",0.901850526487327,0.124315903016097,0.77753462347123
"88",50,2,0.1,"Many","Closest",0.749142874130644,0.265338386526677,0.483804487603967
"89",50,2,0.1,"Many","Medium",0.749142874130644,0.265338386526677,0.483804487603967
"90",50,2,0.1,"Many","Farthest",0.749142874130644,0.265338386526677,0.483804487603967
"91",50,2,0.1,"Few","Closest",0.98178442942133,0.0528668432511168,0.928917586170214
"92",50,2,0.1,"Few","Medium",0.98178442942133,0.0528668432511168,0.928917586170214
"93",50,2,0.1,"Few","Farthest",0.98178442942133,0.0528668432511168,0.928917586170214
"94",50,2,0.1,"Few","Closest",1.01127704411434,0.0441605849581473,0.967116459156193
"95",50,2,0.1,"Few","Medium",1.01127704411434,0.0441605849581473,0.967116459156193
"96",50,2,0.1,"Few","Farthest",1.01127704411434,0.0441605849581473,0.967116459156193
"97",50,2,0.1,"Few","Closest",0.965466791162849,0.265338386526677,0.700128404636172
"98",50,2,0.1,"Few","Medium",0.965466791162849,0.265338386526677,0.700128404636172
"99",50,2,0.1,"Few","Farthest",0.965466791162849,0.265338386526677,0.700128404636172
"100",50,2,0.1,"Border","Closest",0.581129305791094,0.0841780571784742,0.49695124861262
"101",50,2,0.1,"Border","Medium",0.581129305791094,0.0841780571784742,0.49695124861262
"102",50,2,0.1,"Border","Farthest",0.581129305791094,0.0841780571784742,0.49695124861262
"103",50,2,0.1,"Border","Closest",0.385397629642916,-0.130652699705504,0.51605032934842
"104",50,2,0.1,"Border","Medium",0.385397629642916,-0.130652699705504,0.51605032934842
"105",50,2,0.1,"Border","Farthest",0.385397629642916,-0.130652699705504,0.51605032934842
"106",50,2,0.1,"Border","Closest",0.611883863781959,0.265338386526677,0.346545477255282
"107",50,2,0.1,"Border","Medium",0.611883863781959,0.265338386526677,0.346545477255282
"108",50,2,0.1,"Border","Farthest",0.611883863781959,0.265338386526677,0.346545477255282
"109",50,2,0.2,"Many","Closest",0.750854286987176,0.202498054069166,0.548356232918011
"110",50,2,0.2,"Many","Medium",0.750854286987176,0.202498054069166,0.548356232918011
"111",50,2,0.2,"Many","Farthest",0.750854286987176,0.202498054069166,0.548356232918011
"112",50,2,0.2,"Many","Closest",0.901850526487327,0.00735329098652785,0.894497235500799
"113",50,2,0.2,"Many","Medium",0.901850526487327,0.00735329098652785,0.894497235500799
"114",50,2,0.2,"Many","Farthest",0.901850526487327,0.00735329098652785,0.894497235500799
"115",50,2,0.2,"Many","Closest",0.749142874130644,0.217891117206699,0.531251756923945
"116",50,2,0.2,"Many","Medium",0.749142874130644,0.217891117206699,0.531251756923945
"117",50,2,0.2,"Many","Farthest",0.749142874130644,0.217891117206699,0.531251756923945
"118",50,2,0.2,"Few","Closest",0.98178442942133,0.0972030468871236,0.884581382534207
"119",50,2,0.2,"Few","Medium",0.98178442942133,0.0972030468871236,0.884581382534207
"120",50,2,0.2,"Few","Farthest",0.98178442942133,0.0972030468871236,0.884581382534207
"121",50,2,0.2,"Few","Closest",1.01127704411434,0.027672121335038,0.983604922779303
"122",50,2,0.2,"Few","Medium",1.01127704411434,0.027672121335038,0.983604922779303
"123",50,2,0.2,"Few","Farthest",1.01127704411434,0.027672121335038,0.983604922779303
"124",50,2,0.2,"Few","Closest",0.965466791162849,0.217891117206699,0.74757567395615
"125",50,2,0.2,"Few","Medium",0.965466791162849,0.217891117206699,0.74757567395615
"126",50,2,0.2,"Few","Farthest",0.965466791162849,0.217891117206699,0.74757567395615
"127",50,2,0.2,"Border","Closest",0.581129305791094,0.195046103998482,0.386083201792612
"128",50,2,0.2,"Border","Medium",0.581129305791094,0.195046103998482,0.386083201792612
"129",50,2,0.2,"Border","Farthest",0.581129305791094,0.195046103998482,0.386083201792612
"130",50,2,0.2,"Border","Closest",0.385397629642916,-0.0792445341643767,0.464642163807293
"131",50,2,0.2,"Border","Medium",0.385397629642916,-0.0792445341643767,0.464642163807293
"132",50,2,0.2,"Border","Farthest",0.385397629642916,-0.0792445341643767,0.464642163807293
"133",50,2,0.2,"Border","Closest",0.611883863781959,0.217891117206699,0.39399274657526
"134",50,2,0.2,"Border","Medium",0.611883863781959,0.217891117206699,0.39399274657526
"135",50,2,0.2,"Border","Farthest",0.611883863781959,0.217891117206699,0.39399274657526
"136",50,2,0.3,"Many","Closest",0.750854286987176,0.156858424034733,0.593995862952444
"137",50,2,0.3,"Many","Medium",0.750854286987176,0.156858424034733,0.593995862952444
"138",50,2,0.3,"Many","Farthest",0.750854286987176,0.156858424034733,0.593995862952444
"139",50,2,0.3,"Many","Closest",0.901850526487327,-0.0164534411862805,0.918303967673608
"140",50,2,0.3,"Many","Medium",0.901850526487327,-0.0164534411862805,0.918303967673608
"141",50,2,0.3,"Many","Farthest",0.901850526487327,-0.0164534411862805,0.918303967673608
"142",50,2,0.3,"Many","Closest",0.749142874130644,0.153520907503438,0.595621966627206
"143",50,2,0.3,"Many","Medium",0.749142874130644,0.153520907503438,0.595621966627206
"144",50,2,0.3,"Many","Farthest",0.749142874130644,0.153520907503438,0.595621966627206
"145",50,2,0.3,"Few","Closest",0.98178442942133,0.155732469522821,0.82605195989851
"146",50,2,0.3,"Few","Medium",0.98178442942133,0.155732469522821,0.82605195989851
"147",50,2,0.3,"Few","Farthest",0.98178442942133,0.155732469522821,0.82605195989851
"148",50,2,0.3,"Few","Closest",1.01127704411434,0.0309785654110598,0.980298478703281
"149",50,2,0.3,"Few","Medium",1.01127704411434,0.0309785654110598,0.980298478703281
"150",50,2,0.3,"Few","Farthest",1.01127704411434,0.0309785654110598,0.980298478703281
"151",50,2,0.3,"Few","Closest",0.965466791162849,0.153520907503438,0.811945883659411
"152",50,2,0.3,"Few","Medium",0.965466791162849,0.153520907503438,0.811945883659411
"153",50,2,0.3,"Few","Farthest",0.965466791162849,0.153520907503438,0.811945883659411
"154",50,2,0.3,"Border","Closest",0.581129305791094,0.156463598343721,0.424665707447374
"155",50,2,0.3,"Border","Medium",0.581129305791094,0.156463598343721,0.424665707447374
"156",50,2,0.3,"Border","Farthest",0.581129305791094,0.156463598343721,0.424665707447374
"157",50,2,0.3,"Border","Closest",0.385397629642916,-0.0810461558976802,0.466443785540596
"158",50,2,0.3,"Border","Medium",0.385397629642916,-0.0810461558976802,0.466443785540596
"159",50,2,0.3,"Border","Farthest",0.385397629642916,-0.0810461558976802,0.466443785540596
"160",50,2,0.3,"Border","Closest",0.611883863781959,0.153520907503438,0.458362956278521
"161",50,2,0.3,"Border","Medium",0.611883863781959,0.153520907503438,0.458362956278521
"162",50,2,0.3,"Border","Farthest",0.611883863781959,0.153520907503438,0.458362956278521
"163",70,2,0.1,"Many","Closest",0.929016716786831,0.0681511949852994,0.860865521801531
"164",70,2,0.1,"Many","Medium",0.929016716786831,0.0681511949852994,0.860865521801531
"165",70,2,0.1,"Many","Farthest",0.929016716786831,0.0681511949852994,0.860865521801531
"166",70,2,0.1,"Many","Closest",0.749902970612006,-0.0211969839718487,0.771099954583855
"167",70,2,0.1,"Many","Medium",0.749902970612006,-0.0211969839718487,0.771099954583855
"168",70,2,0.1,"Many","Farthest",0.749902970612006,-0.0211969839718487,0.771099954583855
"169",70,2,0.1,"Many","Closest",0.886170485117848,0.1252796829122,0.760890802205649
"170",70,2,0.1,"Many","Medium",0.886170485117848,0.1252796829122,0.760890802205649
"171",70,2,0.1,"Many","Farthest",0.886170485117848,0.1252796829122,0.760890802205649
"172",70,2,0.1,"Few","Closest",0.800265952329673,0.0415409740227648,0.758724978306909
"173",70,2,0.1,"Few","Medium",0.800265952329673,0.0415409740227648,0.758724978306909
"174",70,2,0.1,"Few","Farthest",0.800265952329673,0.0415409740227648,0.758724978306909
"175",70,2,0.1,"Few","Closest",0.712370985354227,-0.0561208583941778,0.768491843748405
"176",70,2,0.1,"Few","Medium",0.712370985354227,-0.0561208583941778,0.768491843748405
"177",70,2,0.1,"Few","Farthest",0.712370985354227,-0.0561208583941778,0.768491843748405
"178",70,2,0.1,"Few","Closest",0.749195509641308,0.1252796829122,0.623915826729109
"179",70,2,0.1,"Few","Medium",0.749195509641308,0.1252796829122,0.623915826729109
"180",70,2,0.1,"Few","Farthest",0.749195509641308,0.1252796829122,0.623915826729109
"181",70,2,0.1,"Border","Closest",0.76890434642108,0.0642826529481355,0.704621693472944
"182",70,2,0.1,"Border","Medium",0.76890434642108,0.0642826529481355,0.704621693472944
"183",70,2,0.1,"Border","Farthest",0.76890434642108,0.0642826529481355,0.704621693472944
"184",70,2,0.1,"Border","Closest",0.653490720478118,-0.00649282500889898,0.659983545487017
"185",70,2,0.1,"Border","Medium",0.653490720478118,-0.00649282500889898,0.659983545487017
"186",70,2,0.1,"Border","Farthest",0.653490720478118,-0.00649282500889898,0.659983545487017
"187",70,2,0.1,"Border","Closest",0.809059257424406,0.1252796829122,0.683779574512206
"188",70,2,0.1,"Border","Medium",0.809059257424406,0.1252796829122,0.683779574512206
"189",70,2,0.1,"Border","Farthest",0.809059257424406,0.1252796829122,0.683779574512206
"190",70,2,0.2,"Many","Closest",0.929016716786831,0.0833643849555906,0.84565233183124
"191",70,2,0.2,"Many","Medium",0.929016716786831,0.0833643849555906,0.84565233183124
"192",70,2,0.2,"Many","Farthest",0.929016716786831,0.0833643849555906,0.84565233183124
"193",70,2,0.2,"Many","Closest",0.749902970612006,-0.00135275607514739,0.751255726687153
"194",70,2,0.2,"Many","Medium",0.749902970612006,-0.00135275607514739,0.751255726687153
"195",70,2,0.2,"Many","Farthest",0.749902970612006,-0.00135275607514739,0.751255726687153
"196",70,2,0.2,"Many","Closest",0.886170485117848,0.0970061290581137,0.789164356059735
"197",70,2,0.2,"Many","Medium",0.886170485117848,0.0970061290581137,0.789164356059735
"198",70,2,0.2,"Many","Farthest",0.886170485117848,0.0970061290581137,0.789164356059735
"199",70,2,0.2,"Few","Closest",0.800265952329673,0.0514484041941021,0.748817548135571
"200",70,2,0.2,"Few","Medium",0.800265952329673,0.0514484041941021,0.748817548135571
"201",70,2,0.2,"Few","Farthest",0.800265952329673,0.0514484041941021,0.748817548135571
"202",70,2,0.2,"Few","Closest",0.712370985354227,-0.0644273655447845,0.776798350899012
"203",70,2,0.2,"Few","Medium",0.712370985354227,-0.0644273655447845,0.776798350899012
"204",70,2,0.2,"Few","Farthest",0.712370985354227,-0.0644273655447845,0.776798350899012
"205",70,2,0.2,"Few","Closest",0.749195509641308,0.0970061290581137,0.652189380583195
"206",70,2,0.2,"Few","Medium",0.749195509641308,0.0970061290581137,0.652189380583195
"207",70,2,0.2,"Few","Farthest",0.749195509641308,0.0970061290581137,0.652189380583195
"208",70,2,0.2,"Border","Closest",0.76890434642108,0.0844884491398091,0.684415897281271
"209",70,2,0.2,"Border","Medium",0.76890434642108,0.0844884491398091,0.684415897281271
"210",70,2,0.2,"Border","Farthest",0.76890434642108,0.0844884491398091,0.684415897281271
"211",70,2,0.2,"Border","Closest",0.653490720478118,-0.0148077353537929,0.66829845583191
"212",70,2,0.2,"Border","Medium",0.653490720478118,-0.0148077353537929,0.66829845583191
"213",70,2,0.2,"Border","Farthest",0.653490720478118,-0.0148077353537929,0.66829845583191
"214",70,2,0.2,"Border","Closest",0.809059257424406,0.0970061290581137,0.712053128366292
"215",70,2,0.2,"Border","Medium",0.809059257424406,0.0970061290581137,0.712053128366292
"216",70,2,0.2,"Border","Farthest",0.809059257424406,0.0970061290581137,0.712053128366292
"217",70,2,0.3,"Many","Closest",0.929016716786831,0.0759261356551537,0.853090581131677
"218",70,2,0.3,"Many","Medium",0.929016716786831,0.0759261356551537,0.853090581131677
"219",70,2,0.3,"Many","Farthest",0.929016716786831,0.0759261356551537,0.853090581131677
"220",70,2,0.3,"Many","Closest",0.749902970612006,0.00197462944462152,0.747928341167384
"221",70,2,0.3,"Many","Medium",0.749902970612006,0.00197462944462152,0.747928341167384
"222",70,2,0.3,"Many","Farthest",0.749902970612006,0.00197462944462152,0.747928341167384
"223",70,2,0.3,"Many","Closest",0.886170485117848,0.076948215266199,0.809222269851649
"224",70,2,0.3,"Many","Medium",0.886170485117848,0.076948215266199,0.809222269851649
"225",70,2,0.3,"Many","Farthest",0.886170485117848,0.076948215266199,0.809222269851649
"226",70,2,0.3,"Few","Closest",0.800265952329673,0.0721900026266479,0.728075949703026
"227",70,2,0.3,"Few","Medium",0.800265952329673,0.0721900026266479,0.728075949703026
"228",70,2,0.3,"Few","Farthest",0.800265952329673,0.0721900026266479,0.728075949703026
"229",70,2,0.3,"Few","Closest",0.712370985354227,-0.0597989925220848,0.772169977876312
"230",70,2,0.3,"Few","Medium",0.712370985354227,-0.0597989925220848,0.772169977876312
"231",70,2,0.3,"Few","Farthest",0.712370985354227,-0.0597989925220848,0.772169977876312
"232",70,2,0.3,"Few","Closest",0.749195509641308,0.076948215266199,0.672247294375109
"233",70,2,0.3,"Few","Medium",0.749195509641308,0.076948215266199,0.672247294375109
"234",70,2,0.3,"Few","Farthest",0.749195509641308,0.076948215266199,0.672247294375109
"235",70,2,0.3,"Border","Closest",0.76890434642108,0.0763365790086356,0.692567767412444
"236",70,2,0.3,"Border","Medium",0.76890434642108,0.0763365790086356,0.692567767412444
"237",70,2,0.3,"Border","Farthest",0.76890434642108,0.0763365790086356,0.692567767412444
"238",70,2,0.3,"Border","Closest",0.653490720478118,-0.0132388096381981,0.666729530116316
"239",70,2,0.3,"Border","Medium",0.653490720478118,-0.0132388096381981,0.666729530116316
"240",70,2,0.3,"Border","Farthest",0.653490720478118,-0.0132388096381981,0.666729530116316
"241",70,2,0.3,"Border","Closest",0.809059257424406,0.076948215266199,0.732111042158207
"242",70,2,0.3,"Border","Medium",0.809059257424406,0.076948215266199,0.732111042158207
"243",70,2,0.3,"Border","Farthest",0.809059257424406,0.076948215266199,0.732111042158207
